IPL,20141023,2.82,2.85,2.82,2.84,3133415
IPP,20141023,2.6,2.61,2.56,2.61,213656
IPT,20141023,0.021,0.023,0.021,0.023,333129
IQE,20141023,2.7,2.7,2.7,2.7,1152
IRE,20141023,9.77,9.82,9.7,9.78,246881
IRI,20141023,0.94,0.975,0.94,0.975,24143
IRM,20141023,0.017,0.018,0.017,0.018,24500
IRN,20141023,0.28,0.28,0.275,0.275,770376
IRU,20141023,125.28,125.28,124.81,125,2252
ISD,20141023,2.85,2.95,2.84,2.94,30271
ISO,20141023,3.82,3.82,3.8,3.81,5130
ISU,20141023,1.32,1.36,1.305,1.345,299586
IVC,20141023,11.54,11.7,11.45,11.53,147418
IVE,20141023,70.24,70.24,69.81,70.13,26248
IVV,20141023,222.1,222.31,221.5,222,30473
IVX,20141023,0.064,0.064,0.058,0.063,1460903
IXI,20141023,99.66,99.66,99.5,99.5,479
IXJ,20141023,109.5,109.5,108.8,108.85,4169
IXP,20141023,69.76,69.96,69.76,69.96,694
IXR,20141023,0.021,0.021,0.021,0.021,4738
IZZ,20141023,43.92,44.22,43.62,43.97,3335
JBH,20141023,14.67,14.79,14.6,14.7,1520909
JCS,20141023,0.02,0.02,0.02,0.02,403689
JHC,20141023,2.38,2.39,2.38,2.39,346048
JHX,20141023,12.22,12.22,12,12.03,1784973
JIN,20141023,1.12,1.145,1.12,1.145,14017
JKA,20141023,0.046,0.047,0.044,0.045,1000515
JPR,20141023,0.4,0.4,0.4,0.4,116760
KAR,20141023,3.11,3.11,3,3,1639404
KAS,20141023,0.075,0.075,0.07,0.07,192315
KBC,20141023,0.17,0.175,0.165,0.165,151381
KBL,20141023,0.044,0.044,0.044,0.044,50000
KCN,20141023,0.76,0.775,0.75,0.765,360337
KDL,20141023,0.11,0.11,0.11,0.11,295000
KEY,20141023,0.013,0.014,0.012,0.012,980000
KGL,20141023,0.275,0.275,0.245,0.26,155812
KMD,20141023,2.74,2.75,2.71,2.74,737619
KME,20141023,0.32,0.32,0.31,0.32,28214
KNL,20141023,0.295,0.34,0.275,0.295,5613468
KOV,20141023,6.22,6.22,6.22,6.22,6073
KRM,20141023,0.38,0.395,0.38,0.38,76071
KSC,20141023,1.53,1.53,1.53,1.53,28477
KTE,20141023,0.019,0.019,0.019,0.019,400000
LAU,20141023,0.37,0.37,0.355,0.365,78697
LCM,20141023,0.78,0.785,0.76,0.76,22600
LEI,20141023,19.86,20.52,19.78,19.99,493757
LEP,20141023,3.1,3.15,3.1,3.12,103632
LER,20141023,0.11,0.12,0.11,0.115,300290
LHB,20141023,0.155,0.155,0.155,0.155,5000
LHC,20141023,2.32,2.32,2.23,2.26,1091
LIC,20141023,1.85,1.87,1.85,1.87,600203
LKO,20141023,0.003,0.003,0.003,0.003,1522000
LLC,20141023,15.27,15.27,15.02,15.13,2219941
LMR,20141023,0.035,0.035,0.035,0.035,11795
LNG,20141023,3.07,3.09,2.99,3.01,2046970
LNR,20141023,0.34,0.35,0.34,0.35,699638
LOM,20141023,0.38,0.385,0.375,0.375,191054
LRS,20141023,0.04,0.04,0.036,0.036,144250
LSR,20141023,0.016,0.016,0.014,0.015,2972966
LTR,20141023,0.025,0.025,0.025,0.025,1000000
LTX,20141023,0.03,0.038,0.03,0.037,1125000
LYC,20141023,0.079,0.079,0.072,0.073,39590355
MAD,20141023,0.202,0.205,0.19,0.19,436280
MAH,20141023,0.1,0.1,0.099,0.099,214491
MAT,20141023,0.19,0.19,0.19,0.19,16450
MBE,20141023,0.245,0.245,0.235,0.235,439237
MBN,20141023,0.031,0.042,0.03,0.033,8722667
MCE,20141023,0.89,0.9,0.89,0.89,108586
MCP,20141023,1.26,1.265,1.25,1.265,14758
MCR,20141023,0.595,0.595,0.575,0.58,314898
MCS,20141023,0.36,0.4,0.36,0.38,594578
MCX,20141023,0.135,0.135,0.135,0.135,980
MDL,20141023,1.45,1.5,1.44,1.45,35957
MEL,20141023,0.064,0.064,0.063,0.064,135992
MEO,20141023,0.027,0.03,0.027,0.027,2749770
MEU,20141023,0.014,0.014,0.014,0.014,50000
MFC,20141023,0.008,0.008,0.008,0.008,8000
MFF,20141023,1.515,1.525,1.51,1.52,113272
MFG,20141023,13.2,13.25,13.05,13.21,239723
MGR,20141023,1.74,1.755,1.73,1.74,9331350
MGX,20141023,0.515,0.525,0.495,0.5,6984556
MHI,20141023,0.225,0.225,0.225,0.225,2
MIG,20141023,0.34,0.34,0.335,0.335,11000
MIN,20141023,8.61,8.61,8.42,8.47,499292
MIR,20141023,2.6,2.67,2.59,2.67,62593
MIX,20141023,0.21,0.21,0.21,0.21,103500
